Graph_x
Time (Seconds),x (Meters),x_dot (Meters/Seconds)
182.600006,0.804646,-0.000064
182.650009,0.804648,0.000041
182.699997,0.804649,0.000031
182.750000,0.804652,0.000048
182.800003,0.804654,0.000050
182.850006,0.804657,0.000052
182.900009,0.804657,0.0000095
182.949997,0.804659,0.000038
183.000000,0.804660,0.000011
183.050003,0.804660,0.000011
183.100006,0.804661,0.0000072
183.150009,0.804683,0.000441
183.199997,0.804677,-0.000122
183.250000,0.804674,-0.000049
183.300003,0.804673,-0.000021
183.350006,0.804669,-0.000075
183.400009,0.804671,0.000029
183.449997,0.804674,0.000073
183.500000,0.804676,0.000026
183.550003,0.804676,0.000013
183.600006,0.804678,0.000030
183.650009,0.804681,0.000057
183.699997,0.804682,0.000036
183.750000,0.804682,-0.000013
183.800003,0.804682,0.000014
183.850006,0.804687,0.000081
183.900009,0.804717,0.000604
183.949997,0.804703,-0.000275
184.000000,0.804699,-0.000080
184.050003,0.804698,-0.000018
184.100006,0.804694,-0.000087
184.150009,0.804693,-0.0000095
184.199997,0.804697,0.000069
184.250000,0.804697,0.000000
184.300003,0.804686,-0.000210
184.350006,0.804744,0.001152
184.400009,0.804853,0.002192
184.449997,0.804998,0.002893
184.500000,0.805107,0.002179
184.550003,0.805042,-0.001302
184.600006,0.804509,-0.010654
184.650009,0.803406,-0.022067
184.699997,0.801612,-0.035886
184.750000,0.799221,-0.047815
184.800003,0.796243,-0.059549
184.850006,0.792678,-0.071311
184.900009,0.788533,-0.082908
184.949997,0.783807,-0.094509
185.000000,0.778488,-0.106375
185.050003,0.772605,-0.117670
185.100006,0.766545,-0.121194
185.150009,0.760594,-0.119025
185.199997,0.754852,-0.114833
185.250000,0.749367,-0.109701
185.300003,0.744137,-0.104606
185.350006,0.739139,-0.099950
185.400009,0.734416,-0.094473
185.449997,0.729875,-0.090821
185.500000,0.725575,-0.085986
185.550003,0.721515,-0.081216
185.600006,0.717677,-0.076755
185.650009,0.714012,-0.073298
185.699997,0.710770,-0.064831
185.750000,0.708429,-0.046823
185.800003,0.707138,-0.025817
185.850006,0.706705,-0.008668
185.900009,0.706728,0.000460
185.949997,0.706747,0.000386
186.000000,0.706663,-0.001676
186.050003,0.706621,-0.000852
186.100006,0.706628,0.000147
186.150009,0.706645,0.000342
186.199997,0.706665,0.000398
186.250000,0.706656,-0.000176
186.300003,0.706653,-0.000077
186.350006,0.706651,-0.000032
186.400009,0.706649,-0.000036
186.449997,0.706650,0.0000083
186.500000,0.706651,0.000021
186.550003,0.706655,0.000079
186.600006,0.706658,0.000060
186.650009,0.706662,0.000081
186.699997,0.706664,0.000039
186.750000,0.706665,0.000024
186.800003,0.706671,0.000122
186.850006,0.706673,0.000043
186.900009,0.706695,0.000434
186.949997,0.706693,-0.000037
187.000000,0.706689,-0.000079
187.050003,0.706687,-0.000038
187.100006,0.706684,-0.000055
187.150009,0.706683,-0.000027
187.199997,0.706686,0.000054
187.250000,0.706690,0.000099
187.300003,0.706694,0.000063
187.350006,0.706696,0.000039
187.400009,0.706698,0.000049
187.449997,0.706703,0.000108
187.500000,0.706709,0.000101
187.550003,0.706712,0.000072
187.600006,0.706711,-0.000024
187.650009,0.706735,0.000485
187.699997,0.706735,-0.0000036
187.750000,0.706731,-0.000073
187.800003,0.706724,-0.000144
187.850006,0.706724,0.000000
187.900009,0.706725,0.000018
187.949997,0.706729,0.000083
188.000000,0.706733,0.000083
188.050003,0.706738,0.000082
188.100006,0.706742,0.000087
188.150009,0.706742,0.0000060
188.199997,0.706743,0.000015
188.250000,0.706749,0.000122
188.300003,0.706753,0.000073
188.350006,0.706773,0.000409
188.400009,0.706774,0.000018
188.449997,0.706770,-0.000087
188.500000,0.706767,-0.000061
188.550003,0.706769,0.000054
188.600006,0.706768,-0.000021
188.650009,0.706770,0.000041
188.699997,0.706773,0.000057
188.750000,0.706775,0.000038
188.800003,0.706776,0.000015
188.850006,0.706777,0.000030
188.900009,0.706781,0.000080
188.949997,0.706781,-0.0000095
189.000000,0.706783,0.000045
189.050003,0.706783,-0.0000048
189.100006,0.706788,0.000105
189.150009,0.706815,0.000530
189.199997,0.706811,-0.000062
189.250000,0.706805,-0.000139
189.300003,0.706804,-0.0000095
189.350006,0.706802,-0.000035
189.400009,0.706808,0.000114
189.449997,0.706814,0.000116
189.500000,0.706812,-0.000035
189.550003,0.706809,-0.000061
189.600006,0.706809,0.000000
189.650009,0.706812,0.000064
189.699997,0.706812,0.0000036
189.750000,0.706815,0.000056
189.800003,0.706816,0.000019
189.850006,0.706823,0.000129
189.900009,0.706846,0.000472
189.949997,0.706840,-0.000122
190.000000,0.706838,-0.000046
190.050003,0.706838,0.0000024
190.100006,0.706838,-0.0000072
190.150009,0.706838,0.0000095
190.199997,0.706839,0.000017
190.250000,0.706844,0.000101
190.300003,0.706844,0.000000
190.350006,0.706846,0.000037
190.400009,0.706848,0.000041
190.449997,0.706849,0.000027
190.500000,0.706853,0.000073
190.550003,0.706855,0.000052
190.600006,0.706856,0.000014
190.650009,0.706863,0.000130
190.699997,0.706896,0.000665
190.750000,0.706879,-0.000333
190.800003,0.706875,-0.000092
190.850006,0.706875,0.0000095
190.900009,0.706875,-0.000011
190.949997,0.706875,0.000011
191.000000,0.706877,0.000030
191.050003,0.706874,-0.000044
191.100006,0.706880,0.000107
191.150009,0.706882,0.000036
191.199997,0.706885,0.000069
191.250000,0.706887,0.000033
191.300003,0.706888,0.000033
191.350006,0.706890,0.000033
191.400009,0.706897,0.000144
191.449997,0.706899,0.000025
191.500000,0.706920,0.000435
191.550003,0.706912,-0.000159
191.600006,0.706909,-0.000070
191.650009,0.706909,0.0000072
191.699997,0.706914,0.000103
191.750000,0.706915,0.000014
191.800003,0.706915,0.0000083
191.850006,0.706919,0.000073
191.900009,0.706919,0.000000
191.949997,0.706923,0.000080
192.000000,0.706928,0.000098
192.050003,0.706930,0.000041
192.100006,0.706933,0.000056
192.150009,0.706934,0.000031
192.199997,0.706936,0.000031
192.250000,0.706960,0.000478
192.300003,0.706958,-0.000039
192.350006,0.706955,-0.000064
192.400009,0.706952,-0.000054
192.449997,0.706953,0.000023
192.500000,0.706955,0.000044
192.550003,0.706960,0.000087
192.600006,0.706959,-0.0000048
192.650009,0.707006,0.000924
192.699997,0.707057,0.001024
192.750000,0.706920,-0.002745
192.800003,0.706611,-0.006175
192.850006,0.706147,-0.009271
192.900009,0.705457,-0.013797
192.949997,0.704487,-0.019410
193.000000,0.703102,-0.027701
193.050003,0.701168,-0.038670
193.100006,0.698512,-0.053118
193.150009,0.695021,-0.069828
193.199997,0.690726,-0.085891
193.250000,0.685719,-0.100143
193.300003,0.679898,-0.116431
193.350006,0.673212,-0.133710
193.400009,0.665693,-0.150377
193.449997,0.657350,-0.166879
193.500000,0.648163,-0.183737
193.550003,0.638116,-0.200938
193.600006,0.627224,-0.217842
193.650009,0.615564,-0.233191
193.699997,0.603101,-0.249255
193.750000,0.589911,-0.263815
193.800003,0.575983,-0.278562
193.850006,0.561325,-0.293158
193.900009,0.545951,-0.307473
193.949997,0.529891,-0.321189
194.000000,0.513174,-0.334342
194.050003,0.495823,-0.347034
194.100006,0.477875,-0.358958
194.150009,0.459332,-0.370852
194.199997,0.440228,-0.382085
194.250000,0.420627,-0.392013
194.300003,0.400533,-0.401883
194.350006,0.379974,-0.411182
194.400009,0.358980,-0.419878
194.449997,0.337604,-0.427530
194.500000,0.315873,-0.434604
194.550003,0.293835,-0.440767
194.600006,0.271537,-0.445953
194.650009,0.249012,-0.450516
194.699997,0.226290,-0.454434
194.750000,0.203410,-0.457590
194.800003,0.180476,-0.458687
194.850006,0.157406,-0.461397
194.900009,0.134367,-0.460792
194.949997,0.111291,-0.461515
195.000000,0.088318,-0.459461
195.050003,0.065418,-0.457992
195.100006,0.042644,-0.455479
195.150009,0.020048,-0.451929
195.199997,-0.002342,-0.447804
195.250000,-0.024470,-0.442559
195.300003,-0.046289,-0.436381
195.350006,-0.067825,-0.430718
195.400009,-0.089070,-0.424890
195.449997,-0.109863,-0.415868
195.500000,-0.130155,-0.405836
195.550003,-0.150017,-0.397242
195.600006,-0.169433,-0.388315
195.650009,-0.188310,-0.377538
195.699997,-0.206668,-0.367157
195.750000,-0.224441,-0.355466
195.800003,-0.241596,-0.343099
195.850006,-0.258082,-0.329728
195.900009,-0.273947,-0.317288
195.949997,-0.289180,-0.304672
196.000000,-0.303692,-0.290240
196.050003,-0.317482,-0.275805
196.100006,-0.330530,-0.260955
196.150009,-0.342407,-0.237535
196.199997,-0.352755,-0.206950
196.250000,-0.361605,-0.177019
196.300003,-0.369092,-0.149733
196.350006,-0.375360,-0.125366
196.400009,-0.380598,-0.104758
196.449997,-0.384890,-0.085827
196.500000,-0.388346,-0.069122
196.550003,-0.391073,-0.054538
196.600006,-0.393148,-0.041499
196.650009,-0.394621,-0.029476
196.699997,-0.395536,-0.018299
196.750000,-0.395960,-0.008483
196.800003,-0.396044,-0.001678
196.850006,-0.396081,-0.000739
196.900009,-0.396115,-0.000672
196.949997,-0.396136,-0.000412
197.000000,-0.396142,-0.000136
197.050003,-0.396143,-0.0000066
197.100006,-0.396144,-0.000018
197.150009,-0.396141,0.000054
197.199997,-0.396140,0.000026
197.250000,-0.396138,0.000038
197.300003,-0.396140,-0.000040
197.350006,-0.396142,-0.000038
197.400009,-0.396135,0.000135
197.449997,-0.396134,0.000019
197.500000,-0.396133,0.000024
197.550003,-0.396125,0.000145
197.600006,-0.396138,-0.000261
197.650009,-0.396141,-0.000048
197.699997,-0.396132,0.000182
197.750000,-0.396125,0.000134
197.800003,-0.396133,-0.000153
197.850006,-0.396132,0.000018
197.900009,-0.396134,-0.000046
197.949997,-0.396139,-0.000103
198.000000,-0.396140,-0.000024
198.050003,-0.396142,-0.000031
198.100006,-0.396131,0.000215
198.150009,-0.396128,0.000055
198.199997,-0.396128,0.0000054
198.250000,-0.396130,-0.000038
198.300003,-0.396127,0.000060
198.350006,-0.396122,0.000103
198.400009,-0.396129,-0.000131
198.449997,-0.396134,-0.000104
198.500000,-0.396117,0.000334
198.550003,-0.396108,0.000175
198.600006,-0.396121,-0.000262
198.650009,-0.396128,-0.000128
198.699997,-0.396127,0.000020
198.750000,-0.396131,-0.000085
198.800003,-0.396131,0.00000060
198.850006,-0.396125,0.000117
198.900009,-0.396122,0.000058
198.949997,-0.396118,0.000077
199.000000,-0.396113,0.000098
199.050003,-0.396114,-0.000018
199.100006,-0.396114,0.000013
199.150009,-0.396118,-0.000088
199.199997,-0.396122,-0.000082
199.250000,-0.396121,0.000016
199.300003,-0.396124,-0.000045
199.350006,-0.396121,0.000051
199.400009,-0.396103,0.000365
199.449997,-0.396125,-0.000446
199.500000,-0.396139,-0.000280
199.550003,-0.396135,0.000091
199.600006,-0.396127,0.000150
199.650009,-0.396109,0.000364
199.699997,-0.396117,-0.000163
199.750000,-0.396132,-0.000291
199.800003,-0.396136,-0.000086
199.850006,-0.396132,0.000083
199.900009,-0.396131,0.0000089
199.949997,-0.396130,0.000027
200.000000,-0.396120,0.000203
200.050003,-0.396137,-0.000349
200.100006,-0.396108,0.000590
200.150009,-0.396145,-0.000752
200.199997,-0.396144,0.000035
200.250000,-0.396132,0.000235
200.300003,-0.396128,0.000067
200.350006,-0.396125,0.000063
200.400009,-0.396127,-0.000043
200.449997,-0.396137,-0.000197
200.500000,-0.396132,0.000097
200.550003,-0.396123,0.000187
200.600006,-0.396127,-0.000075
200.650009,-0.396128,-0.000028
200.699997,-0.396129,-0.0000072
200.750000,-0.396130,-0.000028
200.800003,-0.396123,0.000146
200.850006,-0.396125,-0.000038
200.900009,-0.396125,-0.0000048
200.949997,-0.396362,-0.004746
201.000000,-0.397283,-0.018412
201.050003,-0.399059,-0.035529
201.100006,-0.401737,-0.053566
201.150009,-0.405272,-0.070685
201.199997,-0.409560,-0.085772
201.250000,-0.414604,-0.100881
201.300003,-0.420473,-0.117378
201.350006,-0.427165,-0.133840
201.400009,-0.434723,-0.151162
201.449997,-0.443171,-0.168958
201.500000,-0.452504,-0.186654
201.550003,-0.462751,-0.204949
201.600006,-0.473915,-0.223278
201.650009,-0.486032,-0.242332
201.699997,-0.499098,-0.261328
201.750000,-0.513201,-0.282047
201.800003,-0.528284,-0.301672
201.850006,-0.544339,-0.321106
201.900009,-0.561357,-0.340356
201.949997,-0.579357,-0.359998
202.000000,-0.598302,-0.378890
202.050003,-0.618176,-0.397482
202.100006,-0.638594,-0.408361
202.150009,-0.658741,-0.402937
202.199997,-0.678174,-0.388670
202.250000,-0.696827,-0.373057
202.300003,-0.714682,-0.357095
202.350006,-0.731718,-0.340722
202.400009,-0.747905,-0.323741
202.449997,-0.763255,-0.307001
202.500000,-0.777819,-0.291287
202.550003,-0.791656,-0.276740
202.600006,-0.804705,-0.260978
202.650009,-0.816981,-0.245526
202.699997,-0.828497,-0.230310
202.750000,-0.839275,-0.215566
202.800003,-0.849308,-0.200649
202.850006,-0.858654,-0.186932
202.900009,-0.867301,-0.172936
202.949997,-0.875245,-0.158874
203.000000,-0.882536,-0.145816
203.050003,-0.889154,-0.132363
203.100006,-0.894650,-0.109921
203.150009,-0.898543,-0.077873
203.199997,-0.900798,-0.045094
203.250000,-0.901576,-0.015552
203.300003,-0.901650,-0.001491
203.350006,-0.901660,-0.000192
203.400009,-0.901720,-0.001206
203.449997,-0.901759,-0.000769
203.500000,-0.901753,0.000119
203.550003,-0.901745,0.000153
203.600006,-0.901746,-0.000021
203.650009,-0.901743,0.000067
203.699997,-0.901752,-0.000181
203.750000,-0.901756,-0.000074
203.800003,-0.901761,-0.000117
203.850006,-0.901747,0.000279
203.900009,-0.901749,-0.000027
203.949997,-0.901753,-0.000081
204.000000,-0.901753,-0.000011
204.050003,-0.901753,0.000000
204.100006,-0.901753,0.0000083
204.150009,-0.901747,0.000116
204.199997,-0.901753,-0.000124
204.250000,-0.901751,0.000052
204.300003,-0.901746,0.000088
204.350006,-0.901762,-0.000309
204.400009,-0.901765,-0.000067
204.449997,-0.901749,0.000323
204.500000,-0.901759,-0.000192
204.550003,-0.901766,-0.000144
204.600006,-0.901765,0.000025
204.650009,-0.901772,-0.000153
204.699997,-0.901772,0.0000012
204.750000,-0.901765,0.000138
204.800003,-0.901761,0.000081
204.850006,-0.901761,-0.0000012
204.900009,-0.901768,-0.000132
204.949997,-0.901772,-0.000075
205.000000,-0.901769,0.000061
205.050003,-0.901762,0.000123
205.100006,-0.901767,-0.000088
205.150009,-0.901773,-0.000123
205.199997,-0.901776,-0.000064
205.250000,-0.901775,0.000024
205.300003,-0.901778,-0.000057
205.350006,-0.901777,0.000021
205.400009,-0.901771,0.000107
205.449997,-0.901763,0.000162
205.500000,-0.901771,-0.000151
205.550003,-0.901777,-0.000113
205.600006,-0.901778,-0.000031
205.650009,-0.901764,0.000287
205.699997,-0.901772,-0.000163
205.750000,-0.901781,-0.000192
205.800003,-0.901776,0.000104
205.850006,-0.901783,-0.000143
205.900009,-0.901786,-0.000055
205.949997,-0.901785,0.000031
206.000000,-0.901793,-0.000168
206.050003,-0.901809,-0.000316
206.100006,-0.901804,0.000098
206.150009,-0.901794,0.000196
206.199997,-0.901783,0.000224
206.250000,-0.901783,0.0000095
206.300003,-0.901786,-0.000069
206.350006,-0.901786,-0.0000072
206.400009,-0.901784,0.000050
206.449997,-0.901789,-0.000097
206.500000,-0.901791,-0.000054
206.550003,-0.901791,-0.0000024
206.600006,-0.901791,0.000000
206.650009,-0.901791,0.0000024
206.699997,-0.901794,-0.000060
206.750000,-0.901795,-0.000015
206.800003,-0.901795,0.0000036
206.850006,-0.901797,-0.000039
206.900009,-0.901796,0.000015
206.949997,-0.901800,-0.000083
207.000000,-0.901811,-0.000205
207.050003,-0.901808,0.000060
207.100006,-0.901799,0.000163
207.150009,-0.901810,-0.000221
207.199997,-0.901808,0.000044
207.250000,-0.901805,0.000058
207.300003,-0.901808,-0.000061
207.350006,-0.901804,0.000089
207.400009,-0.901816,-0.000253
207.449997,-0.901812,0.000095
207.500000,-0.901805,0.000135
207.550003,-0.901810,-0.000093
207.600006,-0.901810,-0.0000072
207.650009,-0.901809,0.000027
207.699997,-0.901812,-0.000072
207.750000,-0.901810,0.000042
207.800003,-0.901811,-0.000025
207.850006,-0.901811,0.0000012
207.900009,-0.901817,-0.000122
207.949997,-0.901810,0.000153
208.000000,-0.901806,0.000070
208.050003,-0.901805,0.000029
208.100006,-0.901810,-0.000101
208.150009,-0.901813,-0.000070
208.199997,-0.901813,0.000000
208.250000,-0.901818,-0.000088
208.300003,-0.901817,0.0000083
208.350006,-0.901820,-0.000048
208.400009,-0.901823,-0.000061
208.449997,-0.901832,-0.000188
208.500000,-0.901798,0.000681
208.550003,-0.901767,0.000625
208.600006,-0.901776,-0.000178
208.650009,-0.901789,-0.000263
208.699997,-0.901796,-0.000144
208.750000,-0.901800,-0.000080
208.800003,-0.901799,0.000023
208.850006,-0.901793,0.000113
208.900009,-0.901795,-0.000024
208.949997,-0.901798,-0.000058
209.000000,-0.901797,0.0000048
209.050003,-0.901792,0.000098
209.100006,-0.901794,-0.000041
209.150009,-0.901798,-0.000075
209.199997,-0.901801,-0.000063
209.250000,-0.901795,0.000131
209.300003,-0.901802,-0.000138
209.350006,-0.901809,-0.000139
209.400009,-0.901806,0.000051
209.449997,-0.901797,0.000184
209.500000,-0.901380,0.008340
209.550003,-0.899713,0.033336
209.600006,-0.896297,0.068326
209.650009,-0.891207,0.101789
209.699997,-0.884894,0.126261
209.750000,-0.877808,0.141718
209.800003,-0.870063,0.154908
209.850006,-0.861649,0.168283
209.900009,-0.852527,0.182439
209.949997,-0.842700,0.196530
210.000000,-0.832165,0.210702
210.050003,-0.820885,0.225599
210.100006,-0.808857,0.240566
210.150009,-0.796057,0.255998
210.199997,-0.782491,0.271323
210.250000,-0.768177,0.286279
210.300003,-0.753050,0.302542
210.350006,-0.737121,0.318575
210.400009,-0.720378,0.334868
210.449997,-0.702810,0.351362
210.500000,-0.684446,0.367279
210.550003,-0.665253,0.383859
210.600006,-0.645259,0.399876
210.650009,-0.624795,0.409280
210.699997,-0.604767,0.400559
210.750000,-0.585557,0.384194
210.800003,-0.567241,0.366325
210.850006,-0.549879,0.347245
210.900009,-0.533501,0.327557
210.949997,-0.518140,0.307218
211.000000,-0.503749,0.287831
211.050003,-0.490315,0.268678
211.100006,-0.477844,0.249411
211.150009,-0.466321,0.230472
211.199997,-0.455768,0.211044
211.250000,-0.446165,0.192062
211.300003,-0.437438,0.174541
211.350006,-0.429583,0.157098
211.400009,-0.422601,0.139641
211.449997,-0.416455,0.122926
211.500000,-0.411135,0.106393
211.550003,-0.406600,0.090698
211.600006,-0.402813,0.075747
211.650009,-0.399866,0.058932
211.699997,-0.397814,0.041044
211.750000,-0.396653,0.023232
211.800003,-0.396259,0.007875
211.850006,-0.396209,0.001004
211.900009,-0.396201,0.000162
211.949997,-0.396179,0.000434
212.000000,-0.396159,0.000393
212.050003,-0.396158,0.000026
212.100006,-0.396159,-0.000017
212.150009,-0.396156,0.000055
212.199997,-0.396145,0.000222
212.250000,-0.396138,0.000136
212.300003,-0.396142,-0.000075
212.350006,-0.396146,-0.000072
212.400009,-0.396148,-0.000048
212.449997,-0.396152,-0.000088
212.500000,-0.396145,0.000148
212.550003,-0.396138,0.000136
212.600006,-0.396141,-0.000054
212.650009,-0.396138,0.000059
212.699997,-0.396148,-0.000208
212.750000,-0.396144,0.000097
212.800003,-0.396144,-0.000016
212.850006,-0.396141,0.000073
212.900009,-0.396140,0.000015
212.949997,-0.396139,0.000018
213.000000,-0.396148,-0.000182
213.050003,-0.396146,0.000043
213.100006,-0.396146,0.0000077
213.150009,-0.396145,0.0000018
213.199997,-0.396134,0.000236
213.250000,-0.396130,0.000069
213.300003,-0.396133,-0.000050
213.350006,-0.396140,-0.000135
213.400009,-0.396118,0.000440
213.449997,-0.396148,-0.000603
213.500000,-0.396162,-0.000283
213.550003,-0.396153,0.000185
213.600006,-0.396147,0.000114
213.650009,-0.396153,-0.000116
213.699997,-0.396148,0.000098
213.750000,-0.396143,0.000087
213.800003,-0.396139,0.000091
213.850006,-0.396136,0.000046
213.900009,-0.396143,-0.000132
213.949997,-0.396143,-0.0000048
214.000000,-0.396142,0.000032
214.050003,-0.396141,0.000018
214.100006,-0.396137,0.000077
214.150009,-0.396140,-0.000056
214.199997,-0.396146,-0.000120
214.250000,-0.396144,0.000034
214.300003,-0.396140,0.000083
214.350006,-0.396163,-0.000470
214.400009,-0.396161,0.000042
214.449997,-0.396144,0.000350
214.500000,-0.396164,-0.000414
214.550003,-0.396135,0.000582
214.600006,-0.396171,-0.000721
214.650009,-0.396175,-0.000067
214.699997,-0.396154,0.000405
214.750000,-0.396147,0.000154
214.800003,-0.396157,-0.000207
214.850006,-0.396159,-0.000039
214.900009,-0.396137,0.000449
214.949997,-0.396171,-0.000686
215.000000,-0.396186,-0.000292
215.050003,-0.396177,0.000163
215.100006,-0.396156,0.000423
215.150009,-0.396176,-0.000397
215.199997,-0.396198,-0.000435
215.250000,-0.396186,0.000228
215.300003,-0.396177,0.000193
215.350006,-0.396180,-0.000067
215.400009,-0.396181,-0.000027
215.449997,-0.396180,0.000032
215.500000,-0.396174,0.000108
215.550003,-0.396175,-0.000015
215.600006,-0.396180,-0.000094
215.650009,-0.396179,0.000012
215.699997,-0.396180,-0.000013
215.750000,-0.396171,0.000183
215.800003,-0.396167,0.000069
215.850006,-0.396168,-0.000015
215.900009,-0.396168,0.0000083
215.949997,-0.396146,0.000427
216.000000,-0.396187,-0.000819
216.050003,-0.396205,-0.000353
216.100006,-0.396194,0.000216
216.150009,-0.396192,0.000046
216.199997,-0.396188,0.000082
216.250000,-0.396195,-0.000138
216.300003,-0.396194,0.000021
216.350006,-0.396188,0.000119
216.400009,-0.396194,-0.000135
216.449997,-0.396195,-0.0000042
216.500000,-0.396190,0.000082
216.550003,-0.396185,0.000103
216.600006,-0.396171,0.000291
216.650009,-0.396169,0.000027
216.699997,-0.396200,-0.000619
216.750000,-0.396198,0.000042
216.800003,-0.396189,0.000184
216.850006,-0.396190,-0.000010
216.900009,-0.396194,-0.000091
216.949997,-0.396192,0.000052
217.000000,-0.396185,0.000122
217.050003,-0.396182,0.000063
217.100006,-0.396183,-0.0000060
217.150009,-0.396187,-0.000085
217.199997,-0.396191,-0.000074
217.250000,-0.396191,-0.000013
217.300003,-0.396184,0.000141
217.350006,-0.396185,-0.0000095
217.400009,-0.396186,-0.000035
217.449997,-0.396187,-0.000021
217.500000,-0.396178,0.000188
217.550003,-0.396180,-0.000034
217.600006,-0.396192,-0.000256
217.650009,-0.396177,0.000308
217.699997,-0.396191,-0.000272
217.750000,-0.396204,-0.000262
217.800003,-0.396199,0.000099
217.850006,-0.396188,0.000217
217.900009,-0.396068,0.002401
217.949997,-0.395697,0.007427
218.000000,-0.395227,0.009388
218.050003,-0.394717,0.010211
218.100006,-0.394178,0.010766
218.150009,-0.393553,0.012500
218.199997,-0.392837,0.014321
218.250000,-0.392041,0.015920
218.300003,-0.391147,0.017889
218.350006,-0.390095,0.021029
218.400009,-0.388823,0.025456
218.449997,-0.387369,0.029076
218.500000,-0.385734,0.032703
218.550003,-0.383860,0.037470
218.600006,-0.381697,0.043272
218.650009,-0.379221,0.049513
218.699997,-0.376394,0.056543
218.750000,-0.373142,0.065041
218.800003,-0.369435,0.074126
218.850006,-0.365246,0.083780
218.900009,-0.360500,0.094939
218.949997,-0.355145,0.107095
219.000000,-0.349149,0.119915
219.050003,-0.342483,0.133330
219.100006,-0.335101,0.147625
219.150009,-0.326930,0.163424
219.199997,-0.318000,0.178598
219.250000,-0.308288,0.194234
219.300003,-0.297748,0.210803
219.350006,-0.286349,0.227991
219.400009,-0.274076,0.245460
219.449997,-0.260962,0.262284
219.500000,-0.246996,0.279307
219.550003,-0.232174,0.296440
219.600006,-0.216546,0.312556
219.650009,-0.200137,0.328194
219.699997,-0.183016,0.342414
219.750000,-0.165211,0.356109
219.800003,-0.146768,0.368850
219.850006,-0.127800,0.379355
219.900009,-0.108397,0.388060
219.949997,-0.088868,0.390577
220.000000,-0.069714,0.383087
220.050003,-0.051184,0.370598
220.100006,-0.033445,0.354786
220.150009,-0.016549,0.337913
220.199997,-0.000534,0.320306
220.250000,0.014570,0.302086
220.300003,0.028741,0.283406
220.350006,0.041979,0.264769
220.400009,0.054292,0.246256
220.449997,0.065679,0.227735
220.500000,0.076150,0.209433
220.550003,0.085759,0.192185
220.600006,0.094499,0.174799
220.650009,0.102510,0.160215
220.699997,0.109650,0.142800
220.750000,0.116115,0.129289
220.800003,0.121944,0.116583
220.850006,0.127132,0.103763
220.900009,0.131721,0.091774
220.949997,0.135767,0.080936
221.000000,0.139308,0.070804
221.050003,0.142401,0.061870
221.100006,0.145078,0.053545
221.150009,0.147377,0.045972
221.199997,0.149337,0.039202
