Graph_pitch
Time (Seconds),pitch (Degrees),pitch_dot (Degrees/Seconds)
188.550003,-0.695879,-0.018789
188.600006,-0.696248,-0.007375
188.650009,-0.696180,0.001365
188.699997,-0.696749,-0.011388
188.750000,-0.696723,0.000520
188.800003,-0.696876,-0.003058
188.850006,-0.696705,0.003427
188.900009,-0.696544,0.003220
188.949997,-0.696554,-0.000205
189.000000,-0.696605,-0.001015
189.050003,-0.696555,0.000981
189.100006,-0.696651,-0.001903
189.150009,-0.689128,0.150446
189.199997,-0.691658,-0.050619
189.250000,-0.693797,-0.042769
189.300003,-0.695186,-0.027783
189.350006,-0.696158,-0.019436
189.400009,-0.695782,0.007524
189.449997,-0.695733,0.000983
189.500000,-0.696379,-0.012922
189.550003,-0.696452,-0.001473
189.600006,-0.696171,0.005634
189.650009,-0.696200,-0.000588
189.699997,-0.696542,-0.006848
189.750000,-0.696360,0.003644
189.800003,-0.695871,0.009779
189.850006,-0.696052,-0.003621
189.900009,-0.688750,0.146043
189.949997,-0.691008,-0.045178
190.000000,-0.693009,-0.040021
190.050003,-0.694918,-0.038170
190.100006,-0.696021,-0.022055
190.150009,-0.696004,0.000329
190.199997,-0.695932,0.001440
190.250000,-0.696040,-0.002150
190.300003,-0.696456,-0.008321
190.350006,-0.696314,0.002829
190.400009,-0.696319,-0.000099
190.449997,-0.696506,-0.003727
190.500000,-0.696402,0.002062
190.550003,-0.696504,-0.002029
190.600006,-0.696164,0.006796
190.650009,-0.696207,-0.000854
190.699997,-0.684982,0.224553
190.750000,-0.689799,-0.096333
190.800003,-0.692289,-0.049797
190.850006,-0.694237,-0.038962
190.900009,-0.695337,-0.021992
190.949997,-0.695977,-0.012806
191.000000,-0.696260,-0.005656
191.050003,-0.696364,-0.002089
191.100006,-0.696577,-0.004254
191.150009,-0.696438,0.002770
191.199997,-0.696233,0.004113
191.250000,-0.696357,-0.002483
191.300003,-0.696262,0.001887
191.350006,-0.696367,-0.002084
191.400009,-0.696326,0.000818
191.449997,-0.696412,-0.001717
191.500000,-0.689548,0.137261
191.550003,-0.692269,-0.054416
191.600006,-0.694100,-0.036612
191.650009,-0.695022,-0.018440
191.699997,-0.695726,-0.014084
191.750000,-0.696187,-0.009220
191.800003,-0.695937,0.005005
191.850006,-0.696087,-0.002999
191.900009,-0.696293,-0.004123
191.949997,-0.696319,-0.000521
192.000000,-0.695872,0.008927
192.050003,-0.696334,-0.009238
192.100006,-0.695886,0.008966
192.150009,-0.696330,-0.008882
192.199997,-0.696091,0.004790
192.250000,-0.689514,0.131528
192.300003,-0.691879,-0.047308
192.350006,-0.694129,-0.044982
192.400009,-0.695332,-0.024065
192.449997,-0.695809,-0.009543
192.500000,-0.695941,-0.002643
192.550003,-0.696176,-0.004704
192.600006,-0.696417,-0.004808
192.650009,-0.690565,0.117033
192.699997,-0.614461,1.522456
192.750000,-0.439840,3.492197
192.800003,-0.176477,5.266939
192.850006,0.161105,6.751233
192.900009,0.567787,8.133148
192.949997,1.038530,9.417157
193.000000,1.549708,10.222931
193.050003,2.107366,11.152478
193.100006,2.706601,11.983966
193.150009,3.331440,12.496018
193.199997,3.993275,13.239934
193.250000,4.676199,13.657646
193.300003,5.306180,12.598854
193.350006,5.848104,10.837823
193.400009,6.305698,9.151314
193.449997,6.680764,7.503152
193.500000,6.969661,5.777595
193.550003,7.169596,3.998447
193.600006,7.278508,2.178116
193.650009,7.308045,0.590707
193.699997,7.221136,-1.738617
193.750000,7.039644,-3.629612
193.800003,6.765302,-5.486513
193.850006,6.399720,-7.311188
193.900009,5.943172,-9.130406
193.949997,5.394628,-10.973551
194.000000,4.755328,-12.785236
194.050003,4.026711,-14.571425
194.100006,3.211634,-16.300554
194.150009,2.310711,-18.017365
194.199997,1.326210,-19.694828
194.250000,0.268327,-21.156368
194.300003,-0.869121,-22.747576
194.350006,-2.085473,-24.325554
194.400009,-3.375843,-25.805813
194.449997,-4.736222,-27.214241
194.500000,-6.165887,-28.591536
194.550003,-7.657824,-29.836924
194.600006,-9.209005,-31.021732
194.650009,-10.816339,-32.144703
194.699997,-12.478171,-33.244766
194.750000,-14.191905,-34.272598
194.800003,-15.937007,-34.899902
194.850006,-17.756138,-36.380390
194.900009,-19.597809,-36.831188
194.949997,-21.502337,-38.099861
195.000000,-23.425907,-38.469059
195.050003,-25.394226,-39.363953
195.100006,-27.400299,-40.119057
195.150009,-29.440813,-40.807747
195.199997,-31.514711,-41.488129
195.250000,-33.614094,-41.985062
195.300003,-35.742413,-42.563740
195.350006,-37.900978,-43.168755
195.400009,-40.090740,-43.792545
195.449997,-42.297062,-44.137245
195.500000,-44.521740,-44.490841
195.550003,-46.771236,-44.987125
195.600006,-49.042637,-45.425270
195.650009,-51.332504,-45.794529
195.699997,-53.644180,-46.244846
195.750000,-55.970383,-46.521152
195.800003,-58.311237,-46.814243
195.850006,-60.664471,-47.061741
195.900009,-63.031342,-47.334560
195.949997,-65.413567,-47.656254
196.000000,-67.804764,-47.820980
196.050003,-70.205933,-48.020416
196.100006,-72.613831,-48.155052
196.150009,-74.970169,-47.123753
196.199997,-77.241867,-45.445141
196.250000,-79.382538,-42.810810
196.300003,-81.341476,-39.176315
196.350006,-83.103516,-35.238644
196.400009,-84.671783,-31.363409
196.449997,-86.039085,-27.352873
196.500000,-87.207474,-23.366301
196.550003,-88.175331,-19.355999
196.600006,-88.941864,-15.329607
196.650009,-89.504654,-11.255151
196.699997,-89.850647,-6.921575
196.750000,-89.901093,-1.008771
196.800003,-89.881310,0.395548
196.850006,-89.864380,0.338689
196.900009,-89.853294,0.221644
196.949997,-89.848053,0.104846
197.000000,-89.851959,-0.078208
197.050003,-89.848053,0.078208
197.100006,-89.848053,0.000000
197.150009,-89.850647,-0.051924
197.199997,-89.849342,0.026077
197.250000,-89.846771,0.051495
197.300003,-89.848053,-0.025640
197.350006,-89.845497,0.051066
197.400009,-89.848053,-0.051066
197.449997,-89.846771,0.025648
197.500000,-89.849342,-0.051495
197.550003,-89.849342,0.000000
197.600006,-89.846771,0.051495
197.650009,-89.844231,0.050744
197.699997,-89.849342,-0.102271
197.750000,-89.849342,0.000000
197.800003,-89.846771,0.051495
197.850006,-89.846771,0.000000
197.900009,-89.848053,-0.025640
197.949997,-89.848053,0.000000
198.000000,-89.848053,0.000000
198.050003,-89.848053,0.000000
198.100006,-89.848053,0.000000
198.150009,-89.848053,0.000000
198.199997,-89.848053,0.000000
198.250000,-89.849342,-0.025855
198.300003,-89.849342,0.000000
198.350006,-89.849342,0.000000
198.400009,-89.848053,0.025855
198.449997,-89.844231,0.076408
198.500000,-89.848053,-0.076385
198.550003,-89.849342,-0.025855
198.600006,-89.849342,0.000000
198.650009,-89.845497,0.076921
198.699997,-89.848053,-0.051082
198.750000,-89.848053,0.000000
198.800003,-89.849342,-0.025855
198.850006,-89.848053,0.025855
198.900009,-89.844231,0.076385
198.949997,-89.849342,-0.102271
199.000000,-89.848053,0.025855
199.050003,-89.849342,-0.025855
199.100006,-89.850647,-0.026069
199.150009,-89.848053,0.051924
199.199997,-89.850647,-0.051940
199.250000,-89.848053,0.051924
199.300003,-89.849342,-0.025855
199.350006,-89.848053,0.025855
199.400009,-89.845497,0.051066
199.449997,-89.849342,-0.076945
199.500000,-89.850647,-0.026069
199.550003,-89.846771,0.077565
199.600006,-89.848053,-0.025640
199.650009,-89.849342,-0.025855
199.699997,-89.849342,0.000000
199.750000,-89.848053,0.025855
199.800003,-89.848053,0.000000
199.850006,-89.850647,-0.051924
199.900009,-89.848053,0.051924
199.949997,-89.850647,-0.051940
200.000000,-89.850647,0.000000
200.050003,-89.868774,-0.362505
200.100006,-89.848053,0.414430
200.150009,-89.846771,0.025640
200.199997,-89.848053,-0.025648
200.250000,-89.848053,0.000000
200.300003,-89.850647,-0.051924
200.350006,-89.849342,0.026069
200.400009,-89.851959,-0.052354
200.449997,-89.846771,0.103881
200.500000,-89.849342,-0.051495
200.550003,-89.848053,0.025855
200.600006,-89.848053,0.000000
200.650009,-89.851959,-0.078208
200.699997,-89.848053,0.078232
200.750000,-89.848053,0.000000
200.800003,-89.846771,0.025640
200.850006,-89.845497,0.025426
200.900009,-89.846771,-0.025426
200.949997,-89.853294,-0.130495
201.000000,-89.858727,-0.108676
201.050003,-89.861519,-0.055894
201.100006,-89.862946,-0.028430
201.150009,-89.864380,-0.028644
201.199997,-89.862946,0.028653
201.250000,-89.864380,-0.028644
201.300003,-89.855980,0.167896
201.350006,-89.853294,0.053748
201.400009,-89.844231,0.181199
201.449997,-89.839287,0.098837
201.500000,-89.826416,0.257476
201.550003,-89.819778,0.132815
201.600006,-89.811295,0.169613
201.650009,-89.801193,0.202012
201.699997,-89.795372,0.116436
201.750000,-89.780602,0.295347
201.800003,-89.765099,0.310044
201.850006,-89.749771,0.306504
201.900009,-89.729477,0.405847
201.949997,-89.711281,0.364011
202.000000,-89.687843,0.468822
202.050003,-89.664864,0.459488
202.100006,-89.636299,0.571276
202.150009,-89.602875,0.668473
202.199997,-89.583626,0.385045
202.250000,-89.561203,0.448438
202.300003,-89.544571,0.332574
202.350006,-89.524399,0.403487
202.400009,-89.511009,0.267775
202.449997,-89.497200,0.276335
202.500000,-89.484901,0.245997
202.550003,-89.466972,0.358429
202.600006,-89.450706,0.325278
202.650009,-89.435944,0.295240
202.699997,-89.421219,0.294578
202.750000,-89.407516,0.273998
202.800003,-89.397690,0.196540
202.850006,-89.385155,0.250718
202.900009,-89.376305,0.177015
202.949997,-89.365417,0.217741
203.000000,-89.356239,0.183666
203.050003,-89.347481,0.175084
203.100006,-89.357758,-0.205445
203.150009,-89.394455,-0.733915
203.199997,-89.441521,-0.941578
203.250000,-89.466248,-0.494462
203.300003,-89.490250,-0.479979
203.350006,-89.498375,-0.162532
203.400009,-89.495644,0.054606
203.449997,-89.493317,0.046467
203.500000,-89.494095,-0.015556
203.550003,-89.494873,-0.015449
203.600006,-89.494873,0.000000
203.650009,-89.494873,0.000000
203.699997,-89.494873,0.000000
203.750000,-89.495262,-0.007832
203.800003,-89.494484,0.015556
203.850006,-89.495262,-0.015556
203.900009,-89.493706,0.031004
203.949997,-89.495262,-0.031014
204.000000,-89.495262,0.000000
204.050003,-89.494484,0.015556
204.100006,-89.494873,-0.007724
204.150009,-89.495262,-0.007832
204.199997,-89.494095,0.023287
204.250000,-89.494484,-0.007724
204.300003,-89.495644,-0.023173
204.350006,-89.493317,0.046453
204.400009,-89.493317,0.000000
204.449997,-89.494484,-0.023287
204.500000,-89.495262,-0.015556
204.550003,-89.493706,0.031004
204.600006,-89.493317,0.007832
204.650009,-89.494873,-0.031004
204.699997,-89.494484,0.007727
204.750000,-89.494873,-0.007724
204.800003,-89.494873,0.000000
204.850006,-89.495644,-0.015449
204.900009,-89.494873,0.015449
204.949997,-89.494484,0.007727
205.000000,-89.494484,0.000000
205.050003,-89.495262,-0.015556
205.100006,-89.493317,0.038836
205.150009,-89.493317,0.000000
205.199997,-89.493317,0.000000
205.250000,-89.495262,-0.038836
205.300003,-89.494873,0.007832
205.350006,-89.494095,0.015449
205.400009,-89.494873,-0.015449
205.449997,-89.494873,0.000000
205.500000,-89.495262,-0.007832
205.550003,-89.494873,0.007832
205.600006,-89.494095,0.015449
205.650009,-89.496040,-0.038836
205.699997,-89.496422,-0.007619
205.750000,-89.494095,0.046453
205.800003,-89.492935,0.023173
205.850006,-89.494095,-0.023173
205.900009,-89.494484,-0.007724
205.949997,-89.495262,-0.015561
206.000000,-89.494873,0.007832
206.050003,-89.494484,0.007724
206.100006,-89.493706,0.015449
206.150009,-89.494484,-0.015449
206.199997,-89.495644,-0.023180
206.250000,-89.494484,0.023173
206.300003,-89.494484,0.000000
206.350006,-89.494484,0.000000
206.400009,-89.495262,-0.015556
206.449997,-89.492935,0.046467
206.500000,-89.493706,-0.015449
206.550003,-89.493317,0.007832
206.600006,-89.494095,-0.015556
206.650009,-89.494095,0.000000
206.699997,-89.494873,-0.015453
206.750000,-89.494484,0.007724
206.800003,-89.494484,0.000000
206.850006,-89.495262,-0.015556
206.900009,-89.495262,0.000000
206.949997,-89.494484,0.015561
207.000000,-89.494484,0.000000
207.050003,-89.494095,0.007724
207.100006,-89.494873,-0.015449
207.150009,-89.494484,0.007724
207.199997,-89.492935,0.030907
207.250000,-89.495262,-0.046453
207.300003,-89.493317,0.038836
207.350006,-89.494873,-0.031004
207.400009,-89.494095,0.015449
207.449997,-89.493706,0.007727
207.500000,-89.495262,-0.031004
207.550003,-89.492165,0.061902
207.600006,-89.492935,-0.015449
207.650009,-89.493317,-0.007617
207.699997,-89.494484,-0.023287
207.750000,-89.494873,-0.007724
207.800003,-89.494095,0.015449
207.850006,-89.495262,-0.023280
207.900009,-89.494484,0.015556
207.949997,-89.494873,-0.007727
208.000000,-89.495262,-0.007832
208.050003,-89.494873,0.007832
208.100006,-89.494873,0.000000
208.150009,-89.494095,0.015449
208.199997,-89.495644,-0.030907
208.250000,-89.495262,0.007617
208.300003,-89.494873,0.007832
208.350006,-89.492554,0.046238
208.400009,-89.493317,-0.015234
208.449997,-89.485275,0.160972
208.500000,-89.492935,-0.153306
208.550003,-89.496040,-0.062009
208.600006,-89.494873,0.023387
208.650009,-89.494873,0.000000
208.699997,-89.493317,0.031014
208.750000,-89.493706,-0.007832
208.800003,-89.494873,-0.023173
208.850006,-89.495262,-0.007832
208.900009,-89.495262,0.000000
208.949997,-89.493706,0.031014
209.000000,-89.494095,-0.007724
209.050003,-89.492935,0.023173
209.100006,-89.492935,0.000000
209.150009,-89.494484,-0.030897
209.199997,-89.493317,0.023287
209.250000,-89.494873,-0.031004
209.300003,-89.495262,-0.007832
209.350006,-89.495262,0.000000
209.400009,-89.494873,0.007832
209.449997,-89.494873,0.000000
209.500000,-89.454277,0.811801
209.550003,-89.396713,1.151134
209.600006,-89.357452,0.785196
209.650009,-89.346878,0.211452
209.699997,-89.367279,-0.408010
209.750000,-89.389626,-0.446936
209.800003,-89.406525,-0.338045
209.850006,-89.420876,-0.286979
209.900009,-89.437332,-0.329141
209.949997,-89.455711,-0.367660
210.000000,-89.472885,-0.343409
210.050003,-89.491783,-0.377954
210.100006,-89.509415,-0.352528
210.150009,-89.529778,-0.407349
210.199997,-89.551064,-0.425717
210.250000,-89.572495,-0.428698
210.300003,-89.592178,-0.393617
210.350006,-89.614883,-0.454017
210.400009,-89.636299,-0.428376
210.449997,-89.657928,-0.432585
210.500000,-89.683487,-0.511198
210.550003,-89.705246,-0.435135
210.600006,-89.730927,-0.513665
210.650009,-89.758522,-0.551858
210.699997,-89.788780,-0.605254
210.750000,-89.809227,-0.408958
210.800003,-89.824173,-0.298887
210.850006,-89.838081,-0.278074
210.900009,-89.851959,-0.277645
210.949997,-89.857346,-0.107744
211.000000,-89.860115,-0.055357
211.050003,-89.868774,-0.173153
211.100006,-89.876457,-0.153735
211.150009,-89.874886,0.031434
211.199997,-89.878052,-0.063208
211.250000,-89.870277,0.155451
211.300003,-89.871796,-0.030361
211.350006,-89.876457,-0.093335
211.400009,-89.873329,0.062545
211.449997,-89.873329,0.000000
211.500000,-89.867302,0.120692
211.550003,-89.864380,0.058469
211.600006,-89.861519,0.057074
211.650009,-89.853294,0.164570
211.699997,-89.853294,0.000000
211.750000,-89.850647,0.052890
211.800003,-89.848053,0.051924
211.850006,-89.850647,-0.051924
211.900009,-89.846771,0.077565
211.949997,-89.846771,0.000000
212.000000,-89.846771,0.000000
212.050003,-89.846771,0.000000
212.100006,-89.848053,-0.025640
212.150009,-89.851959,-0.078208
212.199997,-89.848053,0.078232
212.250000,-89.849342,-0.025855
212.300003,-89.851959,-0.052354
212.350006,-89.848053,0.078208
212.400009,-89.850647,-0.051924
212.449997,-89.848053,0.051940
212.500000,-89.848053,0.000000
212.550003,-89.849342,-0.025855
212.600006,-89.848053,0.025855
212.650009,-89.848053,0.000000
212.699997,-89.848053,0.000000
212.750000,-89.849342,-0.025855
212.800003,-89.845497,0.076921
212.850006,-89.846771,-0.025426
212.900009,-89.849342,-0.051495
212.949997,-89.850647,-0.026077
213.000000,-89.848053,0.051924
213.050003,-89.849342,-0.025855
213.100006,-89.848053,0.025855
213.150009,-89.848053,0.000000
213.199997,-89.850647,-0.051940
213.250000,-89.849342,0.026069
213.300003,-89.848053,0.025855
213.350006,-89.846771,0.025640
213.400009,-89.848053,-0.025640
213.449997,-89.851959,-0.078232
213.500000,-89.846771,0.103849
213.550003,-89.848053,-0.025640
213.600006,-89.845497,0.051066
213.650009,-89.849342,-0.076921
213.699997,-89.848053,0.025863
213.750000,-89.849342,-0.025855
213.800003,-89.849342,0.000000
213.850006,-89.849342,0.000000
213.900009,-89.849342,0.000000
213.949997,-89.850647,-0.026077
214.000000,-89.850647,0.000000
214.050003,-89.849342,0.026069
214.100006,-89.850647,-0.026069
214.150009,-89.850647,0.000000
214.199997,-89.848053,0.051940
214.250000,-89.841743,0.126163
214.300003,-89.851959,-0.204372
214.350006,-89.846771,0.103849
214.400009,-89.848053,-0.025640
214.449997,-89.849342,-0.025863
214.500000,-89.868774,-0.388575
214.550003,-89.853294,0.309615
214.600006,-89.849342,0.078959
214.650009,-89.851959,-0.052354
214.699997,-89.849342,0.052370
214.750000,-89.853294,-0.078959
214.800003,-89.849342,0.078959
214.850006,-89.850647,-0.026069
214.900009,-89.849342,0.026069
214.949997,-89.850647,-0.026077
215.000000,-89.850647,0.000000
215.050003,-89.849342,0.026069
215.100006,-89.844231,0.102240
215.150009,-89.851959,-0.154593
215.199997,-89.850647,0.026292
215.250000,-89.851959,-0.026284
215.300003,-89.850647,0.026284
215.350006,-89.849342,0.026069
215.400009,-89.849342,0.000000
215.449997,-89.850647,-0.026077
215.500000,-89.850647,0.000000
215.550003,-89.853294,-0.052890
215.600006,-89.850647,0.052890
215.650009,-89.853294,-0.052890
215.699997,-89.848053,0.104846
215.750000,-89.851959,-0.078208
215.800003,-89.851959,0.000000
215.850006,-89.850647,0.026284
215.900009,-89.850647,0.000000
215.949997,-89.849342,0.026077
216.000000,-89.850647,-0.026069
216.050003,-89.848053,0.051924
216.100006,-89.851959,-0.078208
216.150009,-89.850647,0.026284
216.199997,-89.851959,-0.026292
216.250000,-89.850647,0.026284
216.300003,-89.850647,0.000000
216.350006,-89.850647,0.000000
216.400009,-89.851959,-0.026284
216.449997,-89.854630,-0.053335
216.500000,-89.850647,0.079603
216.550003,-89.850647,0.000000
216.600006,-89.844231,0.128309
216.650009,-89.854630,-0.207912
216.699997,-89.851959,0.053335
216.750000,-89.853294,-0.026606
216.800003,-89.849342,0.078959
216.850006,-89.851959,-0.052354
216.900009,-89.850647,0.026284
216.949997,-89.850647,0.000000
217.000000,-89.851959,-0.026284
217.050003,-89.850647,0.026284
217.100006,-89.851959,-0.026284
217.150009,-89.850647,0.026284
217.199997,-89.854630,-0.079627
217.250000,-89.851959,0.053319
217.300003,-89.850647,0.026284
217.350006,-89.850647,0.000000
217.400009,-89.849342,0.026069
217.449997,-89.851959,-0.052370
217.500000,-89.851959,0.000000
217.550003,-89.850647,0.026284
217.600006,-89.854630,-0.079603
217.650009,-89.846771,0.157168
217.699997,-89.851959,-0.103881
217.750000,-89.851959,0.000000
217.800003,-89.853294,-0.026606
217.850006,-89.853294,0.000000
217.900009,-89.907219,-1.078397
217.949997,-89.849342,1.157710
218.000000,-89.531868,6.349152
218.050003,-89.096046,8.715790
218.100006,-88.559242,10.735477
218.150009,-87.913620,12.911689
218.199997,-87.160553,15.065033
218.250000,-86.298370,17.242655
218.300003,-85.328979,19.386576
218.350006,-84.247353,21.631233
218.400009,-83.048164,23.982315
218.449997,-81.742462,26.120365
218.500000,-80.325470,28.338169
218.550003,-78.796234,30.582829
218.600006,-77.152603,32.870613
218.650009,-75.396004,35.129753
218.699997,-73.526817,37.393009
218.750000,-71.542160,39.690624
218.800003,-69.444244,41.955883
218.850006,-67.237930,44.123615
218.900009,-64.925087,46.253910
218.949997,-62.506462,48.384274
219.000000,-59.983200,50.462254
219.050003,-57.355694,52.546848
219.100006,-54.626427,54.582096
219.150009,-51.792152,56.681919
219.199997,-48.857307,58.711262
219.250000,-45.823116,60.680206
219.300003,-42.688160,62.695229
219.350006,-39.452728,64.704720
219.400009,-36.116776,66.714920
219.449997,-32.684090,68.670486
219.500000,-29.153833,70.600876
219.550003,-25.523005,72.612091
219.600006,-21.799677,74.462051
219.650009,-17.980749,76.373871
219.699997,-14.068192,78.270233
219.750000,-10.060753,80.143929
219.800003,-5.958873,82.032578
219.850006,-1.764875,83.874847
219.900009,2.516186,85.615982
219.949997,6.841238,86.522179
220.000000,11.113255,85.435097
220.050003,15.292810,83.586037
220.100006,19.359798,81.334793
220.150009,23.311966,79.038475
220.199997,27.151989,76.819252
220.250000,30.874361,74.442909
